gene_id_a	gene_symbol_a	gene_id_b	gene_symbol_b
3064	HTT_(mut)	3054	HCFC1
3064	HTT_(mut)	3064	HTT_(mut)
3064	HTT_(mut)	3066	HDAC2
3064	HTT_(mut)	3084	NRG1
3064	HTT_(mut)	3092	HIP1
3064	HTT_(mut)	3093	UBE2K
3064	HTT_(mut)	3101	HK3
3064	HTT_(mut)	3145	HMBS
3064	HTT_(mut)	3163	HMOX2
3064	HTT_(mut)	3183	HNRNPC
3064	HTT_(mut)	3190	HNRNPK
3064	HTT_(mut)	3202	HOXA5
3064	HTT_(mut)	3221	HOXC4
3064	HTT_(mut)	3227	HOXC11
3064	HTT_(mut)	3241	HPCAL1
3064	HTT_(mut)	3251	HPRT1
3064	HTT_(mut)	3265	HRAS
3064	HTT_(mut)	3275	PRMT2
3064	HTT_(mut)	3295	HSD17B4
3064	HTT_(mut)	3301	DNAJA1
3064	HTT_(mut)	3306	HSPA2
3064	HTT_(mut)	3315	HSPB1
3064	HTT_(mut)	3329	HSPD1
3064	HTT_(mut)	3338	DNAJC4
3064	HTT_(mut)	3351	HTR1B
3064	HTT_(mut)	3354	HTR1E
3064	HTT_(mut)	3356	HTR2A
3064	HTT_(mut)	3382	ICA1
3064	HTT_(mut)	3398	ID2
3064	HTT_(mut)	3458	IFNG
3064	HTT_(mut)	3487	IGFBP4
3064	HTT_(mut)	3603	IL16
3064	HTT_(mut)	3611	ILK
3064	HTT_(mut)	3612	IMPA1
3064	HTT_(mut)	3615	IMPDH2
3064	HTT_(mut)	3688	ITGB1
3064	HTT_(mut)	3737	KCNA2
3064	HTT_(mut)	3778	KCNMA1
3064	HTT_(mut)	3831	KLC1
3064	HTT_(mut)	3837	KPNB1
3064	HTT_(mut)	3838	KPNA2
3064	HTT_(mut)	3839	KPNA3
3064	HTT_(mut)	3845	KRAS
3064	HTT_(mut)	3856	KRT8
3064	HTT_(mut)	3861	KRT14
3064	HTT_(mut)	3872	KRT17
3064	HTT_(mut)	3875	KRT18
3064	HTT_(mut)	3880	KRT19
3064	HTT_(mut)	3884	KRT33B
3064	HTT_(mut)	3945	LDHB
3064	HTT_(mut)	3949	LDLR
3064	HTT_(mut)	4045	LSAMP
3064	HTT_(mut)	4067	LYN
3064	HTT_(mut)	4077	NBR1
3064	HTT_(mut)	4087	SMAD2
3064	HTT_(mut)	4088	SMAD3
3064	HTT_(mut)	4102	MAGEA3
3064	HTT_(mut)	4155	MBP
3064	HTT_(mut)	4204	MECP2
3064	HTT_(mut)	4217	MAP3K5
3064	HTT_(mut)	4222	MEOX1
3064	HTT_(mut)	4306	NR3C2
3064	HTT_(mut)	4331	MNAT1
3064	HTT_(mut)	4332	MNDA
3064	HTT_(mut)	4340	MOG
3064	HTT_(mut)	4356	MPP3
3064	HTT_(mut)	4361	MRE11A
3064	HTT_(mut)	4439	MSH5
3064	HTT_(mut)	4488	MSX2
3064	HTT_(mut)	4504	MT3
3064	HTT_(mut)	4521	NUDT1
3064	HTT_(mut)	4552	MTRR
3064	HTT_(mut)	4594	MUT
3064	HTT_(mut)	4653	MYOC
3064	HTT_(mut)	4684	NCAM1
3064	HTT_(mut)	4692	NDN
3064	HTT_(mut)	4702	NDUFA8
3064	HTT_(mut)	4704	NDUFA9
3064	HTT_(mut)	4711	NDUFB5
3064	HTT_(mut)	4715	NDUFB9
3064	HTT_(mut)	4716	NDUFB10
3064	HTT_(mut)	4718	NDUFC2
3064	HTT_(mut)	4719	NDUFS1
3064	HTT_(mut)	4723	NDUFV1
3064	HTT_(mut)	4724	NDUFS4
3064	HTT_(mut)	4725	NDUFS5
3064	HTT_(mut)	4728	NDUFS8
3064	HTT_(mut)	4733	DRG1
3064	HTT_(mut)	4735	SEPT2
3064	HTT_(mut)	4747	NEFL
3064	HTT_(mut)	4760	NEUROD1
3064	HTT_(mut)	4790	NFKB1
3064	HTT_(mut)	4793	NFKBIB
3064	HTT_(mut)	4804	NGFR
3064	HTT_(mut)	4833	NME4
3064	HTT_(mut)	4855	NOTCH4
3064	HTT_(mut)	4905	NSF
3064	HTT_(mut)	4908	NTF3
3064	HTT_(mut)	4915	NTRK2
3064	HTT_(mut)	4978	OPCML
3064	HTT_(mut)	4982	TNFRSF11B
3064	HTT_(mut)	4983	OPHN1
3064	HTT_(mut)	5023	P2RX1
3064	HTT_(mut)	5037	PEBP1
3064	HTT_(mut)	5062	PAK2
3064	HTT_(mut)	5119	CHMP1A
3064	HTT_(mut)	5160	PDHA1
3064	HTT_(mut)	5164	PDK2
3064	HTT_(mut)	5170	PDPK1
3064	HTT_(mut)	5191	PEX7
3064	HTT_(mut)	5217	PFN2
3064	HTT_(mut)	5289	PIK3C3
3064	HTT_(mut)	5290	PIK3CA
3064	HTT_(mut)	5295	PIK3R1
3064	HTT_(mut)	5296	PIK3R2
3064	HTT_(mut)	5297	PI4KA
3064	HTT_(mut)	5315	PKM2
3064	HTT_(mut)	5336	PLCG2
3064	HTT_(mut)	5337	PLD1
3064	HTT_(mut)	5339	PLEC
3064	HTT_(mut)	5354	PLP1
3064	HTT_(mut)	5367	PMCH
3064	HTT_(mut)	5413	SEPT5
3064	HTT_(mut)	5468	PPARG
3064	HTT_(mut)	5476	CTSA
3064	HTT_(mut)	5493	PPL
3064	HTT_(mut)	5501	PPP1CC
3064	HTT_(mut)	5515	PPP2CA
3064	HTT_(mut)	5519	PPP2R1B
3064	HTT_(mut)	5520	PPP2R2A
3064	HTT_(mut)	5529	PPP2R5E
3064	HTT_(mut)	5566	PRKACA
3064	HTT_(mut)	5579	PRKCB
3064	HTT_(mut)	5580	PRKCD
3064	HTT_(mut)	5590	PRKCZ
3064	HTT_(mut)	5621	PRNP
3064	HTT_(mut)	5630	PRPH
3064	HTT_(mut)	5663	PSEN1
3064	HTT_(mut)	5688	PSMA7
3064	HTT_(mut)	5689	PSMB1
3064	HTT_(mut)	5709	PSMD3
3064	HTT_(mut)	5713	PSMD7
3064	HTT_(mut)	5723	PSPH
3064	HTT_(mut)	5728	PTEN
3064	HTT_(mut)	5730	PTGDS
3064	HTT_(mut)	5743	PTGS2
3064	HTT_(mut)	5747	PTK2
3064	HTT_(mut)	5753	PTK6
3064	HTT_(mut)	5764	PTN
3064	HTT_(mut)	5818	PVRL1
3064	HTT_(mut)	5859	QARS
3064	HTT_(mut)	5901	RAN
3064	HTT_(mut)	5905	RANGAP1
3064	HTT_(mut)	5908	RAP1B
3064	HTT_(mut)	5909	RAP1GAP
3064	HTT_(mut)	5913	RAPSN
3064	HTT_(mut)	5921	RASA1
3064	HTT_(mut)	5923	RASGRF1
3064	HTT_(mut)	5954	RCN1
3064	HTT_(mut)	6124	RPL4
3064	HTT_(mut)	6125	RPL5
3064	HTT_(mut)	6128	RPL6
3064	HTT_(mut)	6137	RPL13
3064	HTT_(mut)	6141	RPL18
3064	HTT_(mut)	6155	RPL27
3064	HTT_(mut)	6188	RPS3
3064	HTT_(mut)	6198	RPS6KB1
3064	HTT_(mut)	6206	RPS12
3064	HTT_(mut)	6210	RPS15A
3064	HTT_(mut)	6233	RPS27A
3064	HTT_(mut)	6237	RRAS
3064	HTT_(mut)	6252	RTN1
3064	HTT_(mut)	6258	RXRG
3064	HTT_(mut)	6272	SORT1
3064	HTT_(mut)	6286	S100P
3064	HTT_(mut)	6310	ATXN1
3064	HTT_(mut)	6320	CLEC11A
3064	HTT_(mut)	6327	SCN2B
3064	HTT_(mut)	6337	SCNN1A
3064	HTT_(mut)	6383	SDC2
3064	HTT_(mut)	6386	SDCBP
3064	HTT_(mut)	6396	SEC13
3064	HTT_(mut)	6453	ITSN1
3064	HTT_(mut)	6456	SH3GL2
3064	HTT_(mut)	6457	SH3GL3
3064	HTT_(mut)	6477	SIAH1
3064	HTT_(mut)	6506	SLC1A2
3064	HTT_(mut)	6529	SLC6A1
3064	HTT_(mut)	6557	SLC12A1
3064	HTT_(mut)	6571	SLC18A2
3064	HTT_(mut)	6598	SMARCB1
3064	HTT_(mut)	6602	SMARCD1
3064	HTT_(mut)	6606	SMN1
3064	HTT_(mut)	6613	SUMO2
3064	HTT_(mut)	6616	SNAP25
3064	HTT_(mut)	6620	SNCB
3064	HTT_(mut)	6622	SNCA
3064	HTT_(mut)	6647	SOD1
3064	HTT_(mut)	6667	SP1
3064	HTT_(mut)	6689	SPIB
3064	HTT_(mut)	6720	SREBF1
3064	HTT_(mut)	6721	SREBF2
3064	HTT_(mut)	6726	SRP9
3064	HTT_(mut)	6737	TRIM21
3064	HTT_(mut)	6741	SSB
3064	HTT_(mut)	6764	ST5
3064	HTT_(mut)	6770	STAR
3064	HTT_(mut)	6801	STRN
3064	HTT_(mut)	6804	STX1A
3064	HTT_(mut)	6810	STX4
3064	HTT_(mut)	6812	STXBP1
3064	HTT_(mut)	6813	STXBP2
3064	HTT_(mut)	6837	MED22
3064	HTT_(mut)	6844	VAMP2
3064	HTT_(mut)	6855	SYP
3064	HTT_(mut)	6857	SYT1
3064	HTT_(mut)	6867	TACC1
3064	HTT_(mut)	6908	TBP
3064	HTT_(mut)	6925	TCF4
3064	HTT_(mut)	7003	TEAD1
3064	HTT_(mut)	7014	TERF2
3064	HTT_(mut)	7032	TFF2
3064	HTT_(mut)	7048	TGFBR2
3064	HTT_(mut)	7048	TGFBR2_(wt)
3064	HTT_(mut)	7114	TMSB4X
3064	HTT_(mut)	7126	TNFAIP1
3064	HTT_(mut)	7157	TP53
3064	HTT_(mut)	7167	TPI1
3064	HTT_(mut)	7248	TSC1
3064	HTT_(mut)	7265	TTC1
3064	HTT_(mut)	7291	TWIST1
3064	HTT_(mut)	7311	UBA52
3064	HTT_(mut)	7314	UBB
3064	HTT_(mut)	7337	UBE3A
3064	HTT_(mut)	7341	SUMO1
3064	HTT_(mut)	7349	UCN
3064	HTT_(mut)	7385	UQCRC2
3064	HTT_(mut)	7408	VASP
3064	HTT_(mut)	7415	VCP
3064	HTT_(mut)	7416	VDAC1
3064	HTT_(mut)	7417	VDAC2
3064	HTT_(mut)	7419	VDAC3
3064	HTT_(mut)	7428	VHL
3064	HTT_(mut)	7429	VIL1
3064	HTT_(mut)	7430	EZR
3064	HTT_(mut)	7431	VIM
3064	HTT_(mut)	7529	YWHAB
3064	HTT_(mut)	7532	YWHAG
3064	HTT_(mut)	7549	ZNF2
3064	HTT_(mut)	7697	ZNF138
3064	HTT_(mut)	7704	ZBTB16
3064	HTT_(mut)	7732	RNF112
3064	HTT_(mut)	7733	ZNF180
3064	HTT_(mut)	7745	ZNF192
3064	HTT_(mut)	7746	ZNF193
3064	HTT_(mut)	7781	SLC30A3
3064	HTT_(mut)	7802	DNALI1
3064	HTT_(mut)	7846	TUBA1A
3064	HTT_(mut)	7873	MANF
3064	HTT_(mut)	7879	RAB7A
3064	HTT_(mut)	8048	CSRP3
3064	HTT_(mut)	8065	CUL5
3064	HTT_(mut)	8189	SYMPK
3064	HTT_(mut)	8192	CLPP
3064	HTT_(mut)	8263	F8A1
3064	HTT_(mut)	8294	HIST1H4I
3064	HTT_(mut)	8322	FZD4
3064	HTT_(mut)	8345	HIST1H2BH
3064	HTT_(mut)	8357	HIST1H3H
3064	HTT_(mut)	8382	NME5
3064	HTT_(mut)	8402	SLC25A11
3064	HTT_(mut)	8403	SOX14
3064	HTT_(mut)	8448	DOC2A
3064	HTT_(mut)	8479	HIRIP3
3064	HTT_(mut)	8500	PPFIA1
3064	HTT_(mut)	8503	PIK3R3
3064	HTT_(mut)	8514	KCNAB2
3064	HTT_(mut)	8518	IKBKAP
3064	HTT_(mut)	8533	COPS3
3064	HTT_(mut)	8546	AP3B1
3064	HTT_(mut)	8554	PIAS1
3064	HTT_(mut)	8569	MKNK1
3064	HTT_(mut)	8604	SLC25A12
3064	HTT_(mut)	8605	PLA2G4C
3064	HTT_(mut)	8607	RUVBL1
3064	HTT_(mut)	8613	PPAP2B
3064	HTT_(mut)	8618	CADPS
3064	HTT_(mut)	8620	NPFF
