gene_id_a	gene_symbol_a	gene_id_b	gene_symbol_b
3064	HTT_(wt)	2661	GDF9
3064	HTT_(wt)	2670	GFAP
3064	HTT_(wt)	2691	GHRH
3064	HTT_(wt)	2695	GIP
3064	HTT_(wt)	2719	GPC3
3064	HTT_(wt)	2720	GLB1
3064	HTT_(wt)	2746	GLUD1
3064	HTT_(wt)	2775	GNAO1
3064	HTT_(wt)	2778	GNAS
3064	HTT_(wt)	2781	GNAZ
3064	HTT_(wt)	2782	GNB1
3064	HTT_(wt)	2783	GNB2
3064	HTT_(wt)	2801	GOLGA2
3064	HTT_(wt)	2806	GOT2
3064	HTT_(wt)	2810	SFN
3064	HTT_(wt)	2823	GPM6A
3064	HTT_(wt)	2882	GPX7
3064	HTT_(wt)	2885	GRB2
3064	HTT_(wt)	2890	GRIA1+pASZ-CN-DM_empty
3064	HTT_(wt)	2891	GRIA2
3064	HTT_(wt)	2893	GRIA4+pASZ-CN-DM_empty
3064	HTT_(wt)	2898	GRIK2
3064	HTT_(wt)	2908	NR3C1
3064	HTT_(wt)	2931	GSK3A
3064	HTT_(wt)	3028	HSD17B10
3064	HTT_(wt)	3030	HADHA
3064	HTT_(wt)	3043	HBB
3064	HTT_(wt)	3054	HCFC1
3064	HTT_(wt)	3064	HTT_(wt)
3064	HTT_(wt)	3066	HDAC2
3064	HTT_(wt)	3084	NRG1
3064	HTT_(wt)	3092	HIP1
3064	HTT_(wt)	3093	UBE2K
3064	HTT_(wt)	3101	HK3
3064	HTT_(wt)	3145	HMBS
3064	HTT_(wt)	3163	HMOX2
3064	HTT_(wt)	3183	HNRNPC
3064	HTT_(wt)	3190	HNRNPK
3064	HTT_(wt)	3202	HOXA5
3064	HTT_(wt)	3221	HOXC4
3064	HTT_(wt)	3227	HOXC11
3064	HTT_(wt)	3241	HPCAL1
3064	HTT_(wt)	3251	HPRT1
3064	HTT_(wt)	3265	HRAS
3064	HTT_(wt)	3295	HSD17B4
3064	HTT_(wt)	3301	DNAJA1
